[Device Information]
EVM Device Name	ads1259
Date and Time	02May16 09:45 (Romance Daylight Time)
Notes	Some notes here
Number of Channels	1
[Channel Information]
Channel Name	CH1
Sampling Frequency	14400.000
Input Frequency	14400.000
Max Code	8388607.000
Max Voltage	2.500
Min Code	-8388608.000
Min Voltage	-2.500
Data Format	Decimal
[Channel Data]
	335481
	335398
	335250
	335189
	335184
	335171
	335222
	335237
	335199
	335199
	335212
	335206
	335216
	335229
	335216
	335193
	335154
	335200
	335214
	335181
	335168
	335188
	335231
	335254
	335253
	335213
	335228
	335224
	335169
	335175
	335206
	335211
	335167
	335173
	335207
	335204
	335175
	335154
	335154
	335214
	335185
	335188
	335159
	335207
	335244
	335200
	335207
	335202
	335171
	335091
	335186
	335211
	335179
	335141
	335127
	335185
	335211
	335165
	335163
	335148
	335128
	335135
	335134
	335131
	335090
	335068
	335070
	335121
	335148
	335106
	335124
	335109
	335153
	335133
	335090
	335079
	335067
	335057
	335106
	335141
	335127
	335140
	335174
	335139
	335180
	335197
	335180
	335140
	335066
	335072
	335116
	335129
	335125
	335106
	335093
	335091
	335116
	335088
	335033
	335044
	335047
	335045
	335090
	335126
	335132
	335104
	335097
	335063
	335053
	335039
	335045
	335064
	335086
	335060
	335090
	335129
	335122
	335103
	335056
	335058
	335077
	335111
	335129
	335122
	335086
	335047
	335022
	335000
	335023
	335037
	335066
	335065
	335082
	335064
	335077
	335068
	335055
	335023
	335041
	335088
	335106
	335115
	335075
	335049
	335049
	335044
	335073
	335110
	335100
	335105
	335041
	335000
	335052
	335089
	335068
	335059
	335068
	334994
	335015
	335071
	335066
	335053
	335034
	335035
	335066
	335030
	335014
	335064
	335049
	335083
	335127
	335120
	335113
	335086
	335031
	335005
	335050
	335099
	335043
	335068
	335106
	335117
	335122
	335096
	335064
	335047
	335022
	335031
	335087
	335084
	335115
	335090
	335038
	335059
	335080
	335136
	335100
	335090
	335060
	335032
	335088
	335116
	335122
	335118
	335064
	335061
	335120
	335097
	335122
	335173
	335171
	335179
	335156
	335150
	335136
	335118
	335117
	335111
	335161
	335171
	335136
	335099
	335141
	335148
	335092
	335088
	335086
	335063
	335045
	335033
	335148
	335225
	335193
	335141
	335174
	335182
	335154
	335133
	335137
	335171
	335205
	335199
	335189
	335195
	335197
	335159
	335162
	335150
	335151
	335176
	335162
	335144
	335198
	335161
	335167
	335159
	335159
	335214
	335188
	335156
	335198
	335205
	335195
	335138
	335143
	335141
	335193
	335203
	335202
	335218
	335247
	335260
	335256
	335233
	335181
	335171
	335153
	335212
	335224
	335229
	335250
	335250
	335211
	335166
	335167
	335211
	335202
	335240
	335231
	335213
	335249
	335197
	335174
	335198
	335216
	335185
	335190
	335202
	335217
	335221
	335212
	335254
	335261
	335227
	335168
	335197
	335210
	335211
	335212
	335195
	335205
	335199
	335216
	335242
	335219
	335163
	335180
